Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straﬂe;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;Telefax;EMail;Newsletter;Eintragsdatum
71;Herr;Dr.;Jannis;Lausen;;Ahrblick;21;86159;Augsburg;0821/71483354;0158/8062456;;;;09.12.2015
72;Frau;;Friedlind;Spicker;;Im G¸rtel;84;67725;B‰rrstadt;06357/3353045;0165/9960972;;friedlind-spicker@anymail.none;ja;06.04.2004
73;Herr;;Jonathan;Fl‰ter;;Pfarrer-Niewind-Straﬂe;186;86735;Forheim;09081/61597239;0152/3865939;;jonathan.1948@web.none;ja;21.06.1971
74;Herr;;Ekkart;Wilms;11.07.2000;Spielbergweg;92;25794;Pahlen;04803/22306808;0150/9194730;04803/75769779;e_wilms@web.none;;26.06.2019
75;Herr;;Wulfhardt;G‰deke;17.07.1997;Schwalbacher Straﬂe;80;66763;Dillingen;06831/6907242;0150/1955982;;wulfhardtgoedeke@goggle-mail.none;;20.01.1986
76;Frau;;Svea;Lamb;;Sesterbachstraﬂe;84;57583;Nauroth;02747/83420805;0156/6592176;;s.1926@quickmail.none;;12.11.1981
77;Frau;;Adeline;Tetzner;;Paul-Klee-Straﬂe;65;49824;Emlichheim;05943/96530748;0175/9556232;05943/25008491;;;17.05.1979
78;Herr;;Nikodemus;Sellner;;H‰fchen;11;54636;Lieﬂem;06561/66527484;0177/4321643;;;;10.02.2002
79;k.A.;Prof.;Severin;K√§mpfe;;Herschbacher Weg;155;25474;Hasloh;;0170/4989640;;s_1953@kitty.none;;24.06.2016
80;Frau;Dr.;Wilgard;Wenz;;Kirschbaumstraﬂe;78;63924;Kleinheubach;09371/45045995;0173/6899271;;wilgardwenz@quickmail.none;;08.10.1991
81;Herr;;Heidfried;Hundt;;Skagerrakstraﬂe;181;25885;Immenstedt;04843/49474462;;;heidfriedhundt@domain.none;ja;15.06.2019
82;Frau;;Leonie;Mutlu;;Josef-Schauer-Straﬂe;124;54675;Sinspelt;06564/23035648;;;l.mutlu@bestmail.none;;08.01.2012
83;Herr;;Dominic;Fleﬂner;;Am Eichenkamp;75;23898;K¸hsen;04543/68029658;0165/4346822;;d-flessner@retromail.none;;07.05.2005
84;Herr;;Laurin;Folz;;Broichstraﬂe;35;78580;B√§renthal;;;;laurin.folz@bestmail.none;ja;06.10.1972
85;k.A.;;Gerald;Dewitz;;Ollheimer Straﬂe;71;29229;Celle;05141/93167930;0150/4683499;;gerald.dewitz@private.none;;21.08.1992
86;Herr;;Victor;Bengsch;;Am Dornbusch;61;55578;Vendersheim;06732/44220734;;;;;03.08.2012
87;Frau;;Magdalena;Nebelung;;Kleiner Feldweg;113;57645;Nister;02662/75772376;0175/5052326;;magdalena.51@anymail.none;nein;29.06.2013
88;Herr;;Innozenz;Warth;;Glockscheider Weg;138;76571;Gaggenau;07225/46026938;0167/5953024;07225/89820856;i.1980@ultramail.none;;09.06.1984
89;Herr;Dr.;Lindmar;Keser;;Ziegeleiweg;160;84552;Geratskirchen;08728/75153509;0159/1441574;;l_keser@trashmail.none;nein;05.07.2003
90;Herr;;Jannick;Tauscher;;Zum Nuﬂberg;152;56288;Spesenroth;06762/45839098;0153/7745301;;j_tauscher@spam-mail.none;;14.01.1990
91;Herr;;Ludger;Finck;;Deversdonk;98 b;75175;Pforzheim;07231/55429211;0158/1356455;;;;13.11.1981
92;Frau;;Petra;Hermann;13.08.2007;Weidenst¸ck;169;23863;Bargfeld;;0164/9932027;;p07@justmail.none;;01.04.1983
93;k.A.;;Alheidis;Vukovic;;Sonnenwinkel;116;56826;Wollmerath;;0176/8742674;02676/30431616;alheidis19@net-mail.none;;20.05.1972
94;Herr;Dr.;Volkwart;Brunotte;24.04.1910;In den Steinen;115;10409;Berlin;030/43887108;0166/4698379;;v_brunotte@net-mail.none;ja;05.09.1979
95;Herr;;Hugo;Henneke;17.04.1970;In der Waldemey;58;38173;Evessen;05305/86992503;0171/8884690;;hugo_henneke@xyz.none;nein;07.05.1999
96;Herr;;Arthur;Kott;;Wieningen;43;66539;Neunkirchen;06821/41550499;0166/7997212;;arthur_kott@validmail.none;;18.11.2001
97;Frau;;Babett;Hering;;Opladener Straﬂe;37;44267;Dortmund;0231/77735599;0166/7529578;;babett-hering@web.none;;03.05.1980
98;Herr;Dr.;Benedikt;Melchior;06.01.1973;Distelbusch;83;24975;H¸rup;04634/66462953;;;benedikt.melchior@private.none;;04.02.1972
99;Herr;;Siegenot;Binner;21.08.2013;An der Fuhr;15;31582;Erichshagen-W‰lpe;05021/15589120;0169/5064741;;siegenot-13@private.none;;07.03.2000
100;Herr;;Heyko;Geisen;;Huser Feld;163;53520;Insul;;;;heyko-geisen@live-mail.none;;21.08.1989
